Date,"Amrita Vishwa Vidyapeetham"
2015-07-01,165
2015-07-02,203
2015-07-03,131
2015-07-04,103
2015-07-05,112
2015-07-06,132
2015-07-07,174
2015-07-08,148
2015-07-09,153
2015-07-10,179
2015-07-11,188
2015-07-12,144
2015-07-13,141
2015-07-14,108
2015-07-15,148
2015-07-16,113
2015-07-17,118
2015-07-18,131
2015-07-19,142
2015-07-20,164
2015-07-21,147
2015-07-22,115
2015-07-23,152
2015-07-24,125
2015-07-25,105
2015-07-26,96
2015-07-27,113
2015-07-28,132
2015-07-29,131
2015-07-30,114
2015-07-31,104
2015-08-01,129
2015-08-02,75
2015-08-03,96
2015-08-04,113
2015-08-05,85
2015-08-06,118
2015-08-07,90
2015-08-08,97
2015-08-09,102
2015-08-10,126
2015-08-11,113
2015-08-12,108
2015-08-13,90
2015-08-14,108
2015-08-15,77
2015-08-16,97
2015-08-17,100
2015-08-18,113
2015-08-19,103
2015-08-20,97
2015-08-21,98
2015-08-22,91
2015-08-23,80
2015-08-24,116
2015-08-25,92
2015-08-26,112
2015-08-27,95
2015-08-28,85
2015-08-29,84
2015-08-30,74
2015-08-31,104
2015-09-01,96
2015-09-02,101
2015-09-03,100
2015-09-04,113
2015-09-05,92
2015-09-06,108
2015-09-07,116
2015-09-08,124
2015-09-09,143
2015-09-10,111
2015-09-11,171
2015-09-12,157
2015-09-13,151
2015-09-14,120
2015-09-15,112
2015-09-16,109
2015-09-17,124
2015-09-18,106
2015-09-19,74
2015-09-20,103
2015-09-21,92
2015-09-22,104
2015-09-23,126
2015-09-24,88
2015-09-25,99
2015-09-26,92
2015-09-27,98
2015-09-28,117
2015-09-29,94
2015-09-30,96
2015-10-01,102
2015-10-02,94
2015-10-03,69
2015-10-04,93
2015-10-05,99
2015-10-06,121
2015-10-07,85
2015-10-08,102
2015-10-09,86
2015-10-10,67
2015-10-11,70
2015-10-12,97
2015-10-13,88
2015-10-14,108
2015-10-15,91
2015-10-16,81
2015-10-17,75
2015-10-18,129
2015-10-19,90
2015-10-20,98
2015-10-21,71
2015-10-22,84
2015-10-23,93
2015-10-24,91
2015-10-25,75
2015-10-26,111
2015-10-27,113
2015-10-28,109
2015-10-29,75
2015-10-30,70
2015-10-31,84
2015-11-01,79
2015-11-02,171
2015-11-03,122
2015-11-04,118
2015-11-05,118
2015-11-06,94
2015-11-07,89
2015-11-08,109
2015-11-09,97
2015-11-10,98
2015-11-11,101
2015-11-12,93
2015-11-13,87
2015-11-14,89
2015-11-15,99
2015-11-16,114
2015-11-17,99
2015-11-18,168
2015-11-19,269
2015-11-20,225
2015-11-21,173
2015-11-22,137
2015-11-23,172
2015-11-24,169
2015-11-25,117
2015-11-26,128
2015-11-27,100
2015-11-28,87
2015-11-29,122
2015-11-30,150
2015-12-01,139
2015-12-02,197
2015-12-03,244
2015-12-04,206
2015-12-05,117
2015-12-06,200
2015-12-07,162
2015-12-08,116
2015-12-09,124
2015-12-10,119
2015-12-11,97
2015-12-12,108
2015-12-13,151
2015-12-14,128
2015-12-15,110
2015-12-16,211
2015-12-17,150
2015-12-18,170
2015-12-19,159
2015-12-20,131
2015-12-21,154
2015-12-22,154
2015-12-23,133
2015-12-24,131
2015-12-25,102
2015-12-26,117
2015-12-27,126
2015-12-28,148
2015-12-29,119
2015-12-30,479
2015-12-31,95
2016-01-01,98
2016-01-02,113
2016-01-03,110
2016-01-04,120
2016-01-05,180
2016-01-06,170
2016-01-07,144
2016-01-08,151
2016-01-09,126
2016-01-10,113
2016-01-11,138
2016-01-12,148
2016-01-13,257
2016-01-14,110
2016-01-15,119
2016-01-16,134
2016-01-17,94
2016-01-18,146
2016-01-19,130
2016-01-20,132
2016-01-21,146
2016-01-22,142
2016-01-23,104
2016-01-24,130
2016-01-25,227
2016-01-26,138
2016-01-27,157
2016-01-28,226
2016-01-29,103
2016-01-30,125
2016-01-31,103
2016-02-01,154
2016-02-02,129
2016-02-03,154
2016-02-04,140
2016-02-05,115
2016-02-06,284
2016-02-07,675
2016-02-08,532
2016-02-09,245
2016-02-10,236
2016-02-11,195
2016-02-12,167
2016-02-13,140
2016-02-14,141
2016-02-15,173
2016-02-16,152
2016-02-17,138
2016-02-18,131
2016-02-19,215
2016-02-20,174
2016-02-21,226
2016-02-22,194
2016-02-23,180
2016-02-24,179
2016-02-25,154
2016-02-26,131
2016-02-27,159
2016-02-28,141
2016-02-29,185
2016-03-01,129
2016-03-02,147
2016-03-03,135
2016-03-04,212
2016-03-05,184
2016-03-06,219
2016-03-07,155
2016-03-08,160
2016-03-09,176
2016-03-10,153
2016-03-11,146
2016-03-12,152
2016-03-13,121
2016-03-14,154
2016-03-15,166
2016-03-16,159
2016-03-17,146
2016-03-18,163
2016-03-19,154
2016-03-20,187
2016-03-21,161
2016-03-22,166
2016-03-23,115
2016-03-24,166
2016-03-25,105
2016-03-26,162
2016-03-27,109
2016-03-28,166
2016-03-29,179
2016-03-30,194
2016-03-31,172
2016-04-01,183
2016-04-02,188
2016-04-03,165
2016-04-04,214
2016-04-05,228
2016-04-06,243
2016-04-07,166
2016-04-08,146
2016-04-09,147
2016-04-10,171
2016-04-11,193
2016-04-12,212
2016-04-13,154
2016-04-14,147
2016-04-15,153
2016-04-16,167
2016-04-17,154
2016-04-18,158
2016-04-19,181
2016-04-20,175
2016-04-21,181
2016-04-22,189
2016-04-23,182
2016-04-24,136
2016-04-25,175
2016-04-26,192
2016-04-27,188
2016-04-28,192
2016-04-29,182
2016-04-30,212
2016-05-01,194
2016-05-02,226
2016-05-03,590
2016-05-04,358
2016-05-05,271
2016-05-06,301
2016-05-07,223
2016-05-08,201
2016-05-09,219
2016-05-10,426
2016-05-11,230
2016-05-12,258
2016-05-13,201
2016-05-14,199
2016-05-15,175
2016-05-16,176
2016-05-17,258
2016-05-18,232
2016-05-19,172
2016-05-20,179
2016-05-21,177
2016-05-22,172
2016-05-23,239
2016-05-24,225
2016-05-25,189
2016-05-26,199
2016-05-27,171
2016-05-28,178
2016-05-29,171
2016-05-30,202
2016-05-31,166
2016-06-01,229
2016-06-02,203
2016-06-03,208
2016-06-04,155
2016-06-05,165
2016-06-06,189
2016-06-07,201
2016-06-08,200
2016-06-09,165
2016-06-10,203
2016-06-11,204
2016-06-12,211
2016-06-13,218
2016-06-14,233
2016-06-15,279
2016-06-16,225
2016-06-17,248
2016-06-18,177
2016-06-19,160
2016-06-20,199
2016-06-21,211
2016-06-22,156
2016-06-23,164
2016-06-24,178
2016-06-25,176
2016-06-26,131
2016-06-27,154
2016-06-28,178
2016-06-29,200
2016-06-30,185
2016-07-01,160
2016-07-02,145
2016-07-03,125
2016-07-04,190
2016-07-05,170
2016-07-06,141
