Month,"Amrita Vishwa Vidyapeetham, Coimbatore campus: (Worldwide)"
2004-01,24
2004-02,28
2004-03,24
2004-04,25
2004-05,28
2004-06,35
2004-07,26
2004-08,33
2004-09,18
2004-10,24
2004-11,22
2004-12,22
2005-01,37
2005-02,25
2005-03,39
2005-04,29
2005-05,39
2005-06,31
2005-07,25
2005-08,28
2005-09,21
2005-10,26
2005-11,22
2005-12,23
2006-01,30
2006-02,23
2006-03,29
2006-04,24
2006-05,25
2006-06,39
2006-07,25
2006-08,21
2006-09,20
2006-10,22
2006-11,25
2006-12,28
2007-01,25
2007-02,31
2007-03,35
2007-04,30
2007-05,49
2007-06,39
2007-07,27
2007-08,26
2007-09,24
2007-10,20
2007-11,29
2007-12,35
2008-01,34
2008-02,35
2008-03,34
2008-04,35
2008-05,54
2008-06,40
2008-07,32
2008-08,27
2008-09,24
2008-10,23
2008-11,26
2008-12,32
2009-01,36
2009-02,31
2009-03,37
2009-04,38
2009-05,59
2009-06,46
2009-07,31
2009-08,25
2009-09,23
2009-10,25
2009-11,27
2009-12,43
2010-01,34
2010-02,36
2010-03,43
2010-04,39
2010-05,71
2010-06,48
2010-07,31
2010-08,26
2010-09,26
2010-10,25
2010-11,28
2010-12,47
2011-01,37
2011-02,37
2011-03,39
2011-04,38
2011-05,68
2011-06,53
2011-07,40
2011-08,30
2011-09,33
2011-10,32
2011-11,36
2011-12,47
2012-01,45
2012-02,41
2012-03,46
2012-04,41
2012-05,66
2012-06,54
2012-07,35
2012-08,31
2012-09,26
2012-10,25
2012-11,27
2012-12,38
2013-01,34
2013-02,37
2013-03,51
2013-04,40
2013-05,58
2013-06,52
2013-07,33
2013-08,27
2013-09,24
2013-10,25
2013-11,30
2013-12,36
2014-01,38
2014-02,36
2014-03,50
2014-04,52
2014-05,74
2014-06,50
2014-07,32
2014-08,28
2014-09,27
2014-10,25
2014-11,34
2014-12,34
2015-01,34
2015-02,35
2015-03,45
2015-04,58
2015-05,68
2015-06,51
2015-07,37
2015-08,28
2015-09,31
2015-10,28
2015-11,35
2015-12,39
2016-01,34
2016-02,38
2016-03,44
2016-04,52
2016-05,61
2016-06,50
2016-07,35
2016-08,37
2016-09,33
2016-10,26
2016-11,31
2016-12,33
2017-01,31
2017-02,33
2017-03,35
2017-04,54
2017-05,60
2017-06,47
2017-07,33
2017-08,26
2017-09,24
2017-10,22
2017-11,26
2017-12,29
2018-01,27
2018-02,30
2018-03,35
2018-04,48
2018-05,62
2018-06,45
2018-07,34
2018-08,31
2018-09,36
2018-10,39
2018-11,40
2018-12,38
2019-01,42
2019-02,38
2019-03,42
2019-04,52
2019-05,74
2019-06,54
2019-07,43
2019-08,35
2019-09,31
2019-10,33
2019-11,32
2019-12,30
2020-01,33
2020-02,32
2020-03,26
2020-04,24
2020-05,24
2020-06,33
2020-07,42
2020-08,48
2020-09,62
2020-10,38
2020-11,24
2020-12,26
2021-01,26
2021-02,28
2021-03,30
2021-04,29
2021-05,30
2021-06,48
2021-07,50
2021-08,57
2021-09,42
2021-10,26
2021-11,25
2021-12,26
2022-01,38
2022-02,40
2022-03,43
2022-04,41
2022-05,43
2022-06,73
2022-07,82
2022-08,100
2022-09,60
2022-10,41
2022-11,38
