Date,"Indian Institutes of Technology"
2015-07-01,4958
2015-07-02,5077
2015-07-03,4795
2015-07-04,4303
2015-07-05,4103
2015-07-06,3988
2015-07-07,4677
2015-07-08,4539
2015-07-09,3949
2015-07-10,3666
2015-07-11,3559
2015-07-12,3518
2015-07-13,4098
2015-07-14,3989
2015-07-15,3478
2015-07-16,3613
2015-07-17,3304
2015-07-18,3409
2015-07-19,3509
2015-07-20,3666
2015-07-21,3523
2015-07-22,3198
2015-07-23,3366
2015-07-24,3231
2015-07-25,3635
2015-07-26,3515
2015-07-27,3935
2015-07-28,4320
2015-07-29,3439
2015-07-30,3318
2015-07-31,3157
2015-08-01,3142
2015-08-02,2937
2015-08-03,3819
2015-08-04,3871
2015-08-05,3528
2015-08-06,3789
2015-08-07,3198
2015-08-08,3050
2015-08-09,3235
2015-08-10,3077
2015-08-11,5046
2015-08-12,4924
2015-08-13,3933
2015-08-14,3262
2015-08-15,3330
2015-08-16,3548
2015-08-17,3277
2015-08-18,3486
2015-08-19,3125
2015-08-20,3277
2015-08-21,3088
2015-08-22,3029
2015-08-23,2923
2015-08-24,2908
2015-08-25,2993
2015-08-26,2827
2015-08-27,2864
2015-08-28,2947
2015-08-29,2895
2015-08-30,3227
2015-08-31,3016
2015-09-01,2814
2015-09-02,3014
2015-09-03,3079
2015-09-04,2864
2015-09-05,2604
2015-09-06,2783
2015-09-07,3728
2015-09-08,3142
2015-09-09,4525
2015-09-10,4178
2015-09-11,3338
2015-09-12,3202
2015-09-13,3034
2015-09-14,3304
2015-09-15,3043
2015-09-16,2985
2015-09-17,2834
2015-09-18,2883
2015-09-19,2822
2015-09-20,2723
2015-09-21,2925
2015-09-22,3500
2015-09-23,3300
2015-09-24,3271
2015-09-25,2931
2015-09-26,2887
2015-09-27,3025
2015-09-28,3237
2015-09-29,3217
2015-09-30,3031
2015-10-01,2840
2015-10-02,2926
2015-10-03,2729
2015-10-04,2843
2015-10-05,2914
2015-10-06,2920
2015-10-07,3061
2015-10-08,2781
2015-10-09,2825
2015-10-10,2786
2015-10-11,2715
2015-10-12,2711
2015-10-13,2740
2015-10-14,2456
2015-10-15,2555
2015-10-16,2562
2015-10-17,2441
2015-10-18,2417
2015-10-19,2551
2015-10-20,2760
2015-10-21,2438
2015-10-22,2276
2015-10-23,2603
2015-10-24,2568
2015-10-25,2225
2015-10-26,2554
2015-10-27,2494
2015-10-28,3143
2015-10-29,2812
2015-10-30,2612
2015-10-31,2327
2015-11-01,2362
2015-11-02,2760
2015-11-03,2578
2015-11-04,2443
2015-11-05,2432
2015-11-06,2451
2015-11-07,2281
2015-11-08,2439
2015-11-09,2332
2015-11-10,2348
2015-11-11,2125
2015-11-12,2702
2015-11-13,2713
2015-11-14,2473
2015-11-15,2573
2015-11-16,2434
2015-11-17,2472
2015-11-18,2525
2015-11-19,2634
2015-11-20,2689
2015-11-21,2505
2015-11-22,2595
2015-11-23,2383
2015-11-24,2879
2015-11-25,3098
2015-11-26,2735
2015-11-27,2808
2015-11-28,2602
2015-11-29,3136
2015-11-30,3053
2015-12-01,2886
2015-12-02,3542
2015-12-03,4433
2015-12-04,3635
2015-12-05,3432
2015-12-06,3422
2015-12-07,3205
2015-12-08,3176
2015-12-09,3169
2015-12-10,3408
2015-12-11,2981
2015-12-12,2837
2015-12-13,2963
2015-12-14,2857
2015-12-15,2870
2015-12-16,2971
2015-12-17,3822
2015-12-18,3225
2015-12-19,2916
2015-12-20,2799
2015-12-21,2954
2015-12-22,3018
2015-12-23,2990
2015-12-24,2768
2015-12-25,2686
2015-12-26,2919
2015-12-27,2975
2015-12-28,3268
2015-12-29,3303
2015-12-30,3286
2015-12-31,2635
2016-01-01,2577
2016-01-02,2893
2016-01-03,2797
2016-01-04,2833
2016-01-05,2863
2016-01-06,2877
2016-01-07,3408
2016-01-08,3150
2016-01-09,3270
2016-01-10,2970
2016-01-11,3096
2016-01-12,2870
2016-01-13,3014
2016-01-14,2995
2016-01-15,2889
2016-01-16,2988
2016-01-17,2715
2016-01-18,2825
2016-01-19,3090
2016-01-20,2823
2016-01-21,2998
2016-01-22,2864
2016-01-23,2523
2016-01-24,2785
2016-01-25,2719
2016-01-26,2743
2016-01-27,2954
2016-01-28,2907
2016-01-29,2580
2016-01-30,2664
2016-01-31,2732
2016-02-01,2874
2016-02-02,2798
2016-02-03,3125
2016-02-04,2939
2016-02-05,2878
2016-02-06,3299
2016-02-07,3315
2016-02-08,3169
2016-02-09,3356
2016-02-10,3064
2016-02-11,3064
2016-02-12,2939
2016-02-13,2856
2016-02-14,2746
2016-02-15,3031
2016-02-16,3174
2016-02-17,2971
2016-02-18,3112
2016-02-19,3048
2016-02-20,2750
